,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
992,FDV22,14.85,1,0.009936905,Snack Foods,156.963,OUT035,2004,Small,1,Supermarket Type1,2631.398008099455
993,FDD33,12.85,0,0.108172183,Fruits and Vegetables,234.2642,OUT035,2004,Small,1,Supermarket Type1,3335.1271984921077
994,DRE60,12.860394607036962,0,0.15856287800000002,Soft Drinks,227.372,OUT027,1985,Medium,2,Supermarket Type3,3391.2106360707767
995,FDK52,18.25,0,0.079218842,Frozen Foods,227.0062,OUT046,1997,Small,0,Supermarket Type1,3246.3517492047904
996,FDA02,14.0,1,0.029890782,Dairy,146.3786,OUT017,2007,,1,Supermarket Type1,2348.533538949978
997,FDM56,16.7,0,0.070300718,Fruits and Vegetables,109.3912,OUT049,1999,Medium,0,Supermarket Type1,1435.9282703361132
998,FDE57,9.6,0,0.036278264,Fruits and Vegetables,141.4154,OUT035,2004,Small,1,Supermarket Type1,2207.636155256634
999,FDM32,20.5,0,0.02064682,Fruits and Vegetables,88.78299999999999,OUT045,2002,,1,Supermarket Type1,1459.4596841362363
1000,NCQ30,12.860394607036962,0,0.028931499,Household,121.5414,OUT027,1985,Medium,2,Supermarket Type3,2305.739118009158
1001,FDQ27,12.39452824519226,1,0.0,Meat,104.79899999999999,OUT027,1985,Medium,2,Supermarket Type3,2248.6134356483344
1002,FDT60,12.860394607036962,0,0.075182464,Baking Goods,124.8388,OUT027,1985,Medium,2,Supermarket Type3,2156.981040180446
1003,FDU43,19.35,1,0.058133620999999996,Fruits and Vegetables,240.3564,OUT049,1999,Medium,0,Supermarket Type1,3598.2945941102334
1004,NCO55,12.8,0,0.091020015,Others,106.6938,OUT035,2004,Small,1,Supermarket Type1,1425.0851606367542
1005,FDG02,7.855,0,0.011284003,Canned,190.8188,OUT045,2002,,1,Supermarket Type1,3109.5922564705106
1006,FDJ28,12.3,0,0.021842793,Frozen Foods,190.7162,OUT013,1987,High,2,Supermarket Type1,3391.1006815758483
1007,FDP40,4.555,1,0.034426846000000004,Frozen Foods,111.7544,OUT045,2002,,1,Supermarket Type1,1862.8738682395742
1008,FDJ38,8.6,1,0.040287073,Canned,190.553,OUT045,2002,,1,Supermarket Type1,3056.0175944527728
1009,NCC54,17.75,0,0.098263617,Health and Hygiene,241.8196,OUT017,2007,,1,Supermarket Type1,3453.353803058486
1010,NCZ41,19.85,0,0.064421237,Health and Hygiene,125.4704,OUT046,1997,Small,0,Supermarket Type1,1728.1499462106658
1011,FDK38,12.860394607036962,0,0.0,Canned,148.3734,OUT019,1985,Small,0,Grocery Store,2509.2108449017906
1012,FDU52,7.56,0,0.063717792,Frozen Foods,155.16299999999998,OUT013,1987,High,2,Supermarket Type1,2665.394704379123
1013,FDC40,16.0,1,0.065063889,Dairy,76.2986,OUT046,1997,Small,0,Supermarket Type1,1044.7000301669177
1014,NCR30,20.6,0,0.071394538,Household,74.4696,OUT017,2007,,1,Supermarket Type1,961.4203490222171
1015,NCN18,8.895,0,0.125420107,Household,111.7544,OUT017,2007,,1,Supermarket Type1,1328.5259914539347
1016,FDB50,13.0,0,0.153589518,Canned,78.4986,OUT035,2004,Small,1,Supermarket Type1,715.5312179649663
1017,FDG04,13.1,0,0.006057666999999999,Frozen Foods,188.0898,OUT013,1987,High,2,Supermarket Type1,3417.0993521382698
1018,FDR26,20.7,0,0.042828677999999995,Dairy,177.3028,OUT035,2004,Small,1,Supermarket Type1,2717.7706064389095
1019,NCT17,10.8,0,0.042036392,Health and Hygiene,188.4214,OUT018,2009,Medium,2,Supermarket Type2,3025.550810107281
1020,FDX35,12.39452824519226,1,0.079523572,Breads,226.9036,OUT027,1985,Medium,2,Supermarket Type3,3803.9521188346516
1021,FDS12,9.1,0,0.17411854899999998,Baking Goods,127.4362,OUT046,1997,Small,0,Supermarket Type1,1303.3843954102267
1022,NCZ29,12.860394607036962,0,0.071025838,Health and Hygiene,125.8362,OUT027,1985,Medium,2,Supermarket Type3,2190.4738441332192
1023,FDB38,19.5,1,0.045772769000000005,Canned,161.392,OUT010,1998,,2,Grocery Store,2773.3976698944025
1024,FDP12,9.8,1,0.045229135999999996,Baking Goods,37.1874,OUT013,1987,High,2,Supermarket Type1,983.6344693563369
1025,FDP22,14.65,1,0.099132174,Snack Foods,51.6666,OUT046,1997,Small,0,Supermarket Type1,516.6041795958372
1026,FDS26,20.35,0,0.08983368,Dairy,261.0594,OUT018,2009,Medium,2,Supermarket Type2,3931.683620396423
1027,FDR52,12.65,1,0.07604458900000001,Frozen Foods,191.9846,OUT046,1997,Small,0,Supermarket Type1,2802.626929817092
1028,DRJ13,12.65,0,0.06289030400000001,Soft Drinks,161.2578,OUT046,1997,Small,0,Supermarket Type1,2304.2451385137065
1029,FDU48,12.860394607036962,0,0.055090377,Baking Goods,130.7284,OUT027,1985,Medium,2,Supermarket Type3,2335.4957780633704
1030,FDE29,8.905,0,0.14310206,Frozen Foods,60.5878,OUT035,2004,Small,1,Supermarket Type1,489.581750505331
1031,NCT29,12.6,0,0.0642104,Health and Hygiene,121.7414,OUT049,1999,Medium,0,Supermarket Type1,1661.6695294923265
1032,DRK37,5.0,0,0.044183930999999996,Soft Drinks,188.653,OUT018,2009,Medium,2,Supermarket Type2,3030.1848302099315
1033,FDK55,18.5,0,0.025761698,Meat,87.6172,OUT046,1997,Small,0,Supermarket Type1,1308.970168292326
1034,FDR07,21.35,0,0.077743909,Fruits and Vegetables,96.1094,OUT046,1997,Small,0,Supermarket Type1,1211.1552568229235
1035,FDO21,12.39452824519226,1,0.009715743,Snack Foods,224.7404,OUT027,1985,Medium,2,Supermarket Type3,4072.242243813518
1036,FDK46,9.6,0,0.051547413,Snack Foods,260.66200000000003,OUT049,1999,Medium,0,Supermarket Type1,3882.646249020465
1037,FDB12,11.15,1,0.105521226,Baking Goods,104.5648,OUT045,2002,,1,Supermarket Type1,1431.8042572716186
1038,FDT31,12.860394607036962,0,0.012388013,Fruits and Vegetables,188.8872,OUT027,1985,Medium,2,Supermarket Type3,3424.837716237176
1039,FDJ33,8.895,1,0.088501299,Snack Foods,124.37299999999999,OUT045,2002,,1,Supermarket Type1,1817.5430981918253
1040,FDC26,12.860394607036962,0,0.125771078,Canned,109.7886,OUT027,1985,Medium,2,Supermarket Type3,1704.0700901436758
1041,NCQ02,12.6,0,0.007471585,Household,188.1556,OUT045,2002,,1,Supermarket Type1,3076.2137133843644
1042,FDP08,20.5,1,0.188151371,Fruits and Vegetables,193.4478,OUT010,1998,,2,Grocery Store,2654.4099738598015
1043,FDB11,12.860394607036962,0,0.06055337,Starchy Foods,225.9404,OUT027,1985,Medium,2,Supermarket Type3,3792.8605887319754
1044,FDV55,17.75,0,0.055027599,Fruits and Vegetables,146.2444,OUT013,1987,High,2,Supermarket Type1,2546.1244522167835
1045,FDW20,20.75,0,0.024186975,Fruits and Vegetables,121.573,OUT049,1999,Medium,0,Supermarket Type1,1817.6607017222923
1046,NCJ18,12.860394607036962,0,0.28704117,Household,120.5124,OUT019,1985,Small,0,Grocery Store,834.3095056354505
1047,FDC41,15.6,0,0.1173895,Frozen Foods,75.567,OUT018,2009,Medium,2,Supermarket Type2,935.6710817101921
1048,FDE14,12.39452824519226,1,0.031292877000000004,Canned,101.37,OUT027,1985,Medium,2,Supermarket Type3,2059.926088968994
1049,FDG35,21.2,1,0.00703512,Starchy Foods,175.5738,OUT013,1987,High,2,Supermarket Type1,3281.1079001037942
1050,FDF45,18.2,1,0.012202405,Fruits and Vegetables,57.3904,OUT035,2004,Small,1,Supermarket Type1,1066.81669875011
1051,FDS19,12.39452824519226,1,0.06389635099999999,Fruits and Vegetables,77.5012,OUT027,1985,Medium,2,Supermarket Type3,1547.6351659702414
1052,FDS58,12.39452824519226,1,0.036779867,Snack Foods,159.1578,OUT019,1985,Small,0,Grocery Store,2596.036464206358
1053,FDA26,7.855,1,0.074338562,Dairy,220.4482,OUT017,2007,,1,Supermarket Type1,3319.3489442135287
1054,FDM32,20.5,0,0.020637068,Fruits and Vegetables,87.883,OUT049,1999,Medium,0,Supermarket Type1,1309.4221405626995
1055,FDL45,15.6,0,0.037687837,Snack Foods,126.4704,OUT046,1997,Small,0,Supermarket Type1,1866.8961954812003
1056,FDZ55,6.055,0,0.025448206,Fruits and Vegetables,159.692,OUT049,1999,Medium,0,Supermarket Type1,2431.2826000899586
1057,FDY37,17.0,1,0.026610182000000003,Canned,141.547,OUT049,1999,Medium,0,Supermarket Type1,2201.8733892097844
1058,FDO46,9.6,1,0.014212498,Snack Foods,190.8872,OUT046,1997,Small,0,Supermarket Type1,3058.425018951435
1059,FDQ60,6.195,1,0.109374441,Baking Goods,119.6098,OUT046,1997,Small,0,Supermarket Type1,1544.1838423410918
1060,FDA19,7.52,0,0.055352065,Fruits and Vegetables,130.1994,OUT018,2009,Medium,2,Supermarket Type2,2068.1676080473662
1061,FDL15,17.85,0,0.046634759000000005,Meat,154.2682,OUT046,1997,Small,0,Supermarket Type1,2256.5810948318467
1062,FDM10,18.25,0,0.07628107099999999,Snack Foods,213.0218,OUT018,2009,Medium,2,Supermarket Type2,3246.828735180694
1063,NCL05,19.6,0,0.048168592,Health and Hygiene,42.677,OUT017,2007,,1,Supermarket Type1,569.1340596402915
1064,DRK49,14.15,0,0.060162413,Soft Drinks,42.0138,OUT010,1998,,2,Grocery Store,786.4547408523213
1065,NCE18,12.860394607036962,0,0.021321588,Household,251.375,OUT027,1985,Medium,2,Supermarket Type3,4358.17630902784
1066,FDG40,13.65,0,0.039886263,Frozen Foods,34.3558,OUT049,1999,Medium,0,Supermarket Type1,405.7533051116443
1067,DRI59,9.5,0,0.040917483,Hard Drinks,222.0088,OUT045,2002,,1,Supermarket Type1,3463.6432575444196
1068,FDK28,5.695,0,0.06557750400000001,Frozen Foods,256.2646,OUT035,2004,Small,1,Supermarket Type1,3874.301706362334
1069,NCD06,12.860394607036962,0,0.173905741,Household,46.206,OUT019,1985,Small,0,Grocery Store,167.83783183481137
1070,FDO11,12.39452824519226,1,0.052989927,Breads,250.3092,OUT019,1985,Small,0,Grocery Store,3943.75585636912
1071,FDK27,11.0,0,0.008946536,Meat,119.4756,OUT046,1997,Small,0,Supermarket Type1,1890.5932549649442
1072,FDT43,12.860394607036962,0,0.020448446000000002,Fruits and Vegetables,50.2324,OUT027,1985,Medium,2,Supermarket Type3,1233.2408055952292
1073,FDD38,16.75,1,0.008225098,Canned,102.1674,OUT018,2009,Medium,2,Supermarket Type2,1896.883653088149
1074,FDA16,6.695,0,0.033994765,Frozen Foods,219.8456,OUT049,1999,Medium,0,Supermarket Type1,3328.848584956151
1075,FDL14,12.39452824519226,1,0.032003136,Canned,153.9972,OUT027,1985,Medium,2,Supermarket Type3,2875.4541436707113
1076,NCM17,7.93,0,0.07124646700000001,Health and Hygiene,43.8086,OUT049,1999,Medium,0,Supermarket Type1,427.32513964228565
1077,FDD20,14.15,0,0.020756532,Fruits and Vegetables,123.9046,OUT045,2002,,1,Supermarket Type1,2016.5898688169
1078,FDA40,16.0,1,0.0,Frozen Foods,88.3856,OUT045,2002,,1,Supermarket Type1,1627.9201502990327
1079,FDL43,10.1,0,0.027119268,Meat,77.767,OUT045,2002,,1,Supermarket Type1,1278.6193055683652
1080,FDV15,10.3,0,0.14646889400000002,Meat,102.6648,OUT045,2002,,1,Supermarket Type1,1149.3212248482596
1081,FDE52,10.395,1,0.029886798,Dairy,89.5514,OUT046,1997,Small,0,Supermarket Type1,1412.9671714928227
1082,NCL17,7.39,0,0.113449342,Health and Hygiene,143.7812,OUT010,1998,,2,Grocery Store,2150.963570676642
1083,NCJ31,19.2,0,0.183024199,Others,239.3196,OUT045,2002,,1,Supermarket Type1,3100.9971711646795
1084,FDR60,14.3,0,0.130679603,Baking Goods,78.4328,OUT045,2002,,1,Supermarket Type1,833.5754306062481
1085,NCA18,10.1,0,0.05606697,Household,115.6492,OUT035,2004,Small,1,Supermarket Type1,1720.3694678554639
1086,FDS21,12.39452824519226,1,0.020775058,Snack Foods,63.2194,OUT027,1985,Medium,2,Supermarket Type3,1511.997544847447
1087,FDW09,13.65,1,0.025915913999999998,Snack Foods,78.3302,OUT035,2004,Small,1,Supermarket Type1,1341.3102932720285
1088,FDL26,18.0,0,0.0,Canned,154.3972,OUT035,2004,Small,1,Supermarket Type1,2551.5310076657843
1089,FDS47,16.75,0,0.129410755,Breads,89.0856,OUT018,2009,Medium,2,Supermarket Type2,1091.9073132438862
1090,FDC39,7.405,0,0.159195426,Dairy,206.4296,OUT046,1997,Small,0,Supermarket Type1,2599.6653642614183
1091,FDT51,11.65,1,0.010916726000000002,Meat,111.1544,OUT035,2004,Small,1,Supermarket Type1,1920.3150763821577
1092,FDK40,7.035,0,0.021845267,Frozen Foods,263.091,OUT035,2004,Small,1,Supermarket Type1,4167.253895825943
1093,NCG19,20.25,0,0.14823358,Household,235.7616,OUT045,2002,,1,Supermarket Type1,3194.26422834368
1094,FDZ07,15.1,1,0.093891315,Fruits and Vegetables,62.0194,OUT046,1997,Small,0,Supermarket Type1,699.5062872761555
1095,FDF08,12.39452824519226,1,0.06489178799999999,Fruits and Vegetables,88.8856,OUT027,1985,Medium,2,Supermarket Type3,1720.4105134491474
1096,FDO04,16.6,0,0.026515122000000002,Frozen Foods,55.2614,OUT013,1987,High,2,Supermarket Type1,1256.2820615003257
1097,FDK41,14.3,0,0.128061273,Frozen Foods,83.3224,OUT018,2009,Medium,2,Supermarket Type2,1012.4587826879651
1098,FDP15,15.2,0,0.084073075,Meat,255.533,OUT049,1999,Medium,0,Supermarket Type1,3652.2194063981697
1099,NCD43,8.85,0,0.016085216,Household,104.6964,OUT018,2009,Medium,2,Supermarket Type2,1838.9495579842478
1100,NCP18,12.15,0,0.028574451,Household,148.8708,OUT013,1987,High,2,Supermarket Type1,2711.3588197121608
1101,FDZ51,11.3,1,0.0,Meat,93.3094,OUT046,1997,Small,0,Supermarket Type1,1599.0800205435226
1102,DRH13,8.575,0,0.02388144,Soft Drinks,108.428,OUT035,2004,Small,1,Supermarket Type1,1749.9706698098125
1103,FDF38,11.8,1,0.026411458999999998,Canned,40.1138,OUT045,2002,,1,Supermarket Type1,770.30342034981
1104,NCI43,19.85,0,0.026021371,Household,49.2376,OUT045,2002,,1,Supermarket Type1,822.2531614035761
1105,FDM38,12.39452824519226,1,0.092322059,Canned,54.3982,OUT027,1985,Medium,2,Supermarket Type3,1065.326015540104
1106,FDS03,7.825,0,0.079562345,Meat,64.7826,OUT013,1987,High,2,Supermarket Type1,1190.55144441202
1107,DRJ47,18.25,0,0.044500600999999994,Hard Drinks,171.408,OUT017,2007,,1,Supermarket Type1,2589.772881958819
1108,FDT50,6.75,1,0.181169873,Dairy,97.3752,OUT010,1998,,2,Grocery Store,1214.6928498144443
1109,FDV02,16.75,0,0.060545628,Dairy,172.5106,OUT046,1997,Small,0,Supermarket Type1,2482.1250463095093
1110,NCG18,15.3,0,0.023107874,Household,103.8332,OUT017,2007,,1,Supermarket Type1,1636.4458967519604
1111,FDW52,14.0,1,0.03752254,Frozen Foods,164.6526,OUT046,1997,Small,0,Supermarket Type1,2541.702288236971
1112,FDS40,15.35,0,0.014016743,Frozen Foods,36.019,OUT035,2004,Small,1,Supermarket Type1,654.2830631595571
1113,FDN31,11.5,0,0.073293783,Fruits and Vegetables,191.053,OUT017,2007,,1,Supermarket Type1,2782.817102885372
1114,FDA37,7.81,1,0.055338755999999996,Canned,123.1046,OUT045,2002,,1,Supermarket Type1,1943.181231361632
1115,FDA15,9.3,0,0.01602239,Dairy,249.9092,OUT046,1997,Small,0,Supermarket Type1,3891.8681949209968
1116,FDL39,16.1,1,0.063331355,Dairy,181.1318,OUT046,1997,Small,0,Supermarket Type1,2682.6643824995517
1117,FDJ53,10.5,0,0.071402425,Frozen Foods,122.0098,OUT045,2002,,1,Supermarket Type1,1774.554064103806
1118,FDX22,6.785,1,0.022955693,Snack Foods,210.5928,OUT013,1987,High,2,Supermarket Type1,3782.606337946512
1119,NCZ42,10.5,0,0.011310821,Household,238.7248,OUT045,2002,,1,Supermarket Type1,3849.933159218963
1120,FDD56,12.39452824519226,1,0.10327572,Fruits and Vegetables,176.2054,OUT027,1985,Medium,2,Supermarket Type3,2912.622440766001
1121,FDD40,20.25,1,0.014877033999999999,Dairy,193.5162,OUT017,2007,,1,Supermarket Type1,3135.562225801714
1122,FDS50,17.0,0,0.055387247,Dairy,220.6114,OUT013,1987,High,2,Supermarket Type1,3702.6595002602808
1123,NCN14,19.1,0,0.0,Others,184.4608,OUT013,1987,High,2,Supermarket Type1,3376.1763138727365
1124,FDT15,12.15,1,0.042646002999999995,Meat,183.295,OUT013,1987,High,2,Supermarket Type1,3263.285113754031
1125,NCS18,12.860394607036962,0,0.04200671,Household,108.0938,OUT027,1985,Medium,2,Supermarket Type3,2040.0119014999364
1126,NCO26,7.235,0,0.128640565,Household,114.6492,OUT010,1998,,2,Grocery Store,1632.3937398005583
1127,FDF58,13.3,0,0.009620184,Snack Foods,61.451,OUT018,2009,Medium,2,Supermarket Type2,1186.3254070758558
1128,NCB19,6.525,0,0.090220566,Household,86.4882,OUT013,1987,High,2,Supermarket Type1,1484.3888876788187
1129,FDH26,19.25,1,0.034896013,Canned,141.0496,OUT017,2007,,1,Supermarket Type1,2234.651957631788
1130,DRB24,12.860394607036962,0,0.020477579,Soft Drinks,152.8656,OUT027,1985,Medium,2,Supermarket Type3,2829.543067202503
1131,FDA49,19.7,0,0.065186228,Canned,86.3198,OUT018,2009,Medium,2,Supermarket Type2,1321.4257706207536
1132,FDB32,20.6,0,0.023500502000000003,Fruits and Vegetables,95.5778,OUT045,2002,,1,Supermarket Type1,1552.6298412589313
1133,FDI36,12.5,1,0.0,Baking Goods,196.7426,OUT017,2007,,1,Supermarket Type1,3263.885146326669
1134,NCA17,20.6,0,0.076020756,Health and Hygiene,149.3392,OUT010,1998,,2,Grocery Store,2375.8002374355856
1135,FDH22,6.405,0,0.13618752,Snack Foods,125.1678,OUT013,1987,High,2,Supermarket Type1,1887.4321379561115
1136,NCM26,20.5,0,0.0,Others,153.334,OUT018,2009,Medium,2,Supermarket Type2,2644.3361755780425
1137,FDT15,12.39452824519226,1,0.042474835,Meat,183.295,OUT027,1985,Medium,2,Supermarket Type3,3285.879552893828
1138,FDB16,8.21,0,0.045108792,Dairy,87.0198,OUT018,2009,Medium,2,Supermarket Type2,1439.5992549412222
1139,NCP54,12.860394607036962,0,0.034979457,Household,123.473,OUT027,1985,Medium,2,Supermarket Type3,2309.6254892489706
1140,FDJ36,14.5,1,0.128153336,Baking Goods,102.3332,OUT013,1987,High,2,Supermarket Type1,1629.9246985963582
1141,FDO28,5.765,0,0.072444983,Frozen Foods,119.7098,OUT045,2002,,1,Supermarket Type1,1742.6941500113062
1142,FDU09,7.71,1,0.066541719,Snack Foods,54.2956,OUT013,1987,High,2,Supermarket Type1,1161.2833967275874
1143,FDF29,15.1,1,0.020046943,Frozen Foods,128.83100000000002,OUT017,2007,,1,Supermarket Type1,2116.2059681435276
1144,FDY08,9.395,1,0.170932857,Fruits and Vegetables,140.5838,OUT013,1987,High,2,Supermarket Type1,2048.9515836314204
1145,DRJ59,11.65,0,0.019451167,Hard Drinks,37.0164,OUT018,2009,Medium,2,Supermarket Type2,766.6668513482873
1146,FDT23,12.39452824519226,1,0.074369587,Breads,79.3986,OUT027,1985,Medium,2,Supermarket Type3,1531.849023132323
1147,FDU15,13.65,1,0.026710453999999998,Meat,37.8532,OUT018,2009,Medium,2,Supermarket Type2,822.0575461891822
1148,FDT47,5.26,1,0.024488439,Breads,96.8068,OUT013,1987,High,2,Supermarket Type1,2008.7836157581078
1149,FDI53,12.39452824519226,1,0.0,Frozen Foods,162.8236,OUT019,1985,Small,0,Grocery Store,2812.1399026293984
1150,FDR59,14.5,1,0.064123704,Breads,262.3594,OUT018,2009,Medium,2,Supermarket Type2,4150.848296251614
1151,FDD53,16.2,0,0.044214135,Frozen Foods,40.4454,OUT035,2004,Small,1,Supermarket Type1,591.0099022590039
1152,FDY51,12.5,0,0.081593757,Meat,219.8798,OUT017,2007,,1,Supermarket Type1,3193.530204292809
1153,FDT04,17.25,0,0.107208159,Frozen Foods,37.9822,OUT049,1999,Medium,0,Supermarket Type1,164.56948369857128
1154,FDU51,20.2,1,0.096663729,Meat,176.9028,OUT049,1999,Medium,0,Supermarket Type1,2443.127352797772
1155,FDG14,9.0,1,0.050491164000000005,Canned,151.7024,OUT035,2004,Small,1,Supermarket Type1,2384.571873577257
1156,NCU06,17.6,0,0.07455796099999999,Household,231.00099999999998,OUT045,2002,,1,Supermarket Type1,3443.5971255330733
1157,DRG25,10.5,0,0.019049691,Soft Drinks,186.024,OUT046,1997,Small,0,Supermarket Type1,2882.9241697913603
1158,DRH49,19.7,0,0.024650932,Soft Drinks,83.6592,OUT035,2004,Small,1,Supermarket Type1,1341.5759357504176
1159,FDN15,17.5,0,0.016730894,Meat,139.018,OUT035,2004,Small,1,Supermarket Type1,2240.836182552397
1160,FDL43,10.1,0,0.02717463,Meat,76.267,OUT018,2009,Medium,2,Supermarket Type2,1346.5499166718182
1161,NCT18,14.6,0,0.059497510999999996,Household,182.4976,OUT049,1999,Medium,0,Supermarket Type1,2623.5396104583815
1162,NCB31,6.235,0,0.118575601,Household,260.991,OUT013,1987,High,2,Supermarket Type1,4076.5996620228616
1163,FDK57,10.195,0,0.080277707,Snack Foods,119.14399999999999,OUT035,2004,Small,1,Supermarket Type1,1669.8428915159457
1164,FDY04,12.39452824519226,1,0.074370772,Frozen Foods,162.921,OUT019,1985,Small,0,Grocery Store,2491.980903344989
1165,NCP54,15.35,0,0.03514967,Household,121.67299999999999,OUT046,1997,Small,0,Supermarket Type1,1803.697202914922
1166,FDF41,12.15,0,0.131070648,Frozen Foods,244.34599999999998,OUT013,1987,High,2,Supermarket Type1,3753.122353506398
1167,FDM01,7.895,1,0.0,Breakfast,102.4332,OUT045,2002,,1,Supermarket Type1,1860.8479618461097
1168,FDW03,5.63,1,0.024591047,Meat,104.3306,OUT045,2002,,1,Supermarket Type1,1788.028641792116
1169,FDF28,15.7,1,0.037941512000000004,Frozen Foods,122.8046,OUT045,2002,,1,Supermarket Type1,1999.7235866603733
1170,FDY37,17.0,1,0.026719159,Canned,142.047,OUT017,2007,,1,Supermarket Type1,2289.536897255839
1171,FDQ03,15.0,1,0.07845553599999999,Meat,237.3248,OUT017,2007,,1,Supermarket Type1,3551.338811235415
1172,FDP51,12.39452824519226,1,0.08486204,Meat,120.0124,OUT027,1985,Medium,2,Supermarket Type3,2118.2016104258437
1173,FDJ40,13.6,1,0.049869757,Frozen Foods,110.9912,OUT017,2007,,1,Supermarket Type1,1712.3904584343618
1174,FDC32,18.35,0,0.099263089,Fruits and Vegetables,93.4462,OUT049,1999,Medium,0,Supermarket Type1,1059.7024891768233
1175,DRI49,12.860394607036962,0,0.18261865300000002,Soft Drinks,81.6276,OUT027,1985,Medium,2,Supermarket Type3,1020.1528997782516
1176,NCW54,7.5,0,0.096958614,Household,55.3588,OUT017,2007,,1,Supermarket Type1,576.8955298385335
1177,FDF09,6.215,0,0.012217624,Fruits and Vegetables,37.7848,OUT017,2007,,1,Supermarket Type1,672.3518330518928
1178,FDP45,15.7,1,0.030749596,Snack Foods,250.6724,OUT018,2009,Medium,2,Supermarket Type2,4111.277523804405
1179,DRJ23,18.35,0,0.041838623,Hard Drinks,187.1872,OUT018,2009,Medium,2,Supermarket Type2,2993.7744921391095
1180,FDS59,14.8,1,0.044141726,Breads,111.15700000000001,OUT017,2007,,1,Supermarket Type1,1737.609511417766
1181,FDY08,9.395,1,0.17107522100000003,Fruits and Vegetables,138.9838,OUT046,1997,Small,0,Supermarket Type1,1572.9737711903654
1182,FDX16,17.85,0,0.065912362,Frozen Foods,147.805,OUT049,1999,Medium,0,Supermarket Type1,2050.377857579064
1183,FDY16,18.35,1,0.09260244599999999,Frozen Foods,184.7266,OUT018,2009,Medium,2,Supermarket Type2,2813.2647637576556
1184,FDK32,16.25,1,0.0,Fruits and Vegetables,152.8682,OUT035,2004,Small,1,Supermarket Type1,2608.193387508254
1185,FDQ22,16.75,0,0.029714904,Snack Foods,39.3822,OUT013,1987,High,2,Supermarket Type1,995.179086451979
1186,NCC31,8.02,0,0.019951406,Household,155.9972,OUT018,2009,Medium,2,Supermarket Type2,2621.672457665896
1187,FDG58,10.695,1,0.086916126,Snack Foods,153.7972,OUT049,1999,Medium,0,Supermarket Type1,2142.8005731071826
1188,DRF48,5.73,0,0.051758358,Soft Drinks,189.0898,OUT013,1987,High,2,Supermarket Type1,3248.099834321387
1189,DRH36,16.2,0,0.033431957000000005,Soft Drinks,73.3696,OUT049,1999,Medium,0,Supermarket Type1,1035.9804171814976
1190,NCR30,20.6,0,0.070979549,Household,75.5696,OUT035,2004,Small,1,Supermarket Type1,1013.7592455024133
1191,FDB03,12.39452824519226,1,0.274592283,Dairy,242.2538,OUT019,1985,Small,0,Grocery Store,2859.965466532456
1192,FDZ28,12.39452824519226,1,0.051243144000000004,Frozen Foods,126.1678,OUT027,1985,Medium,2,Supermarket Type3,2359.357952845032
1193,FDR35,12.5,0,0.020814797,Breads,198.4742,OUT017,2007,,1,Supermarket Type1,3123.458299003094
1194,DRD15,12.860394607036962,0,0.056520886,Dairy,232.6642,OUT027,1985,Medium,2,Supermarket Type3,3914.888858067152
1195,FDJ33,12.39452824519226,1,0.154640734,Snack Foods,124.273,OUT019,1985,Small,0,Grocery Store,1543.6333510213808
1196,FDA56,9.21,0,0.014670454,Fruits and Vegetables,120.2414,OUT010,1998,,2,Grocery Store,2208.8165407312117
1197,FDP56,8.185,0,0.046484138,Fruits and Vegetables,47.9692,OUT046,1997,Small,0,Supermarket Type1,620.9813450230358
1198,NCT30,9.1,0,0.08029289,Household,48.1718,OUT046,1997,Small,0,Supermarket Type1,476.27247493603863
1199,FDK15,10.8,0,0.098970494,Meat,100.3042,OUT017,2007,,1,Supermarket Type1,1261.4337832987876
1200,FDH44,19.1,1,0.0,Fruits and Vegetables,146.9418,OUT018,2009,Medium,2,Supermarket Type2,2624.7301821013207
1201,FDV01,19.2,1,0.084879879,Canned,154.6314,OUT013,1987,High,2,Supermarket Type1,2622.213956835134
1202,DRG03,14.5,0,0.062337196,Dairy,152.4998,OUT017,2007,,1,Supermarket Type1,2225.185970460432
1203,FDG50,12.860394607036962,0,0.015197838,Canned,89.7146,OUT027,1985,Medium,2,Supermarket Type3,1870.0847635787904
1204,FDR16,5.845,1,0.175778605,Frozen Foods,214.9218,OUT010,1998,,2,Grocery Store,3068.023559769532
1205,FDZ60,20.5,0,0.119361811,Baking Goods,107.8596,OUT046,1997,Small,0,Supermarket Type1,1215.4296379278712
1206,DRG03,14.5,0,0.062112285,Dairy,154.2998,OUT045,2002,,1,Supermarket Type1,2309.880207482376
1207,FDS56,5.785,1,0.038914742999999995,Fruits and Vegetables,264.0252,OUT018,2009,Medium,2,Supermarket Type2,4301.302056984085
1208,FDU33,7.63,1,0.134982959,Snack Foods,45.2402,OUT045,2002,,1,Supermarket Type1,387.861345106161
1209,DRD27,18.75,0,0.023835413,Dairy,99.1042,OUT035,2004,Small,1,Supermarket Type1,1587.03595150022
1210,FDW22,9.695,1,0.0,Snack Foods,223.1114,OUT046,1997,Small,0,Supermarket Type1,3620.9665887400843
1211,DRA24,19.35,1,0.040009212,Soft Drinks,163.2868,OUT045,2002,,1,Supermarket Type1,2613.973908534328
1212,FDF38,11.8,1,0.026398984,Canned,38.9138,OUT049,1999,Medium,0,Supermarket Type1,615.6112455700022
